field_id,project_id,name,type
4e39d37d-12d0-4f86-a72c-a81ad99a5fee,6b112919-b988-4b2c-89b0-42b9eb6d334f,Priority,select
8237d2e8-775d-42ec-a9df-096d18bc5ec3,6b112919-b988-4b2c-89b0-42b9eb6d334f,Effort,number
8f35835b-b510-4188-abb7-ac441e2401fe,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,Priority,select
6c0f39c1-ae06-4211-a1bc-dad1cf4f3898,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,Effort,number
32ca7a41-1768-495a-9bd8-c0a67c3e9412,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Priority,select
7e694a57-eea4-490b-9a2c-84ede6f0d11e,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Effort,number
f7caf257-cfd0-44a9-a2c1-d889492156c6,69f78c4f-6f89-406f-9ca6-5f302fc21070,Priority,select
ae6b5f75-88c9-445c-97b2-65010f2495c5,69f78c4f-6f89-406f-9ca6-5f302fc21070,Effort,number
6e823b7e-348f-4732-b02a-c6b0af30037e,ad850f09-32e1-490a-810a-c1bc7b548be4,Priority,select
fd2a06b7-ff1a-4e5c-9224-b6d649a7021e,ad850f09-32e1-490a-810a-c1bc7b548be4,Effort,number
5d8a0c1f-03d5-4a18-8fcb-ca6fe495db84,f814e88a-7be9-40ef-9745-81422aaec1c6,Priority,select
98b51415-0aad-4022-b9ab-3c4e83cf09a1,f814e88a-7be9-40ef-9745-81422aaec1c6,Effort,number
c2fb6c5a-4fc2-4c60-b7c6-cecfbe933408,4895ba9c-b7cc-467e-91dd-1a5f77f39641,Priority,select
26ccbfde-634b-4d6f-9cd1-e70f662a4dc6,4895ba9c-b7cc-467e-91dd-1a5f77f39641,Effort,number
1bf91eb8-ff29-4fa5-9d48-818343977711,206b1051-92be-47b5-aeb1-086fda7c9ab5,Priority,select
afe9f798-5191-41f2-be6a-a08349a45e7f,206b1051-92be-47b5-aeb1-086fda7c9ab5,Effort,number
354d53ef-94ae-46cf-b649-7636a5a7a88d,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,Priority,select
fbc2bc57-8b91-45e2-8521-ef0f27877a2c,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,Effort,number
273931ce-6885-4fff-90b4-406dfe66552c,10e39994-5f87-474b-a3c5-f7a5b45c635c,Priority,select
584b5525-b502-4a4f-98a5-b18c1474b1bc,10e39994-5f87-474b-a3c5-f7a5b45c635c,Effort,number
95a265e6-dc94-4435-b253-2eeaf963a7ec,8ce0e34d-7d98-4ef4-9319-9d33668965f8,Priority,select
4c566eb3-f4d7-4627-87d6-8f89bec50987,8ce0e34d-7d98-4ef4-9319-9d33668965f8,Effort,number
03a3104e-18c7-498a-baf2-fc19a47ce30d,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,Priority,select
beb36791-cb90-4e17-abf9-5e524c22ddcb,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,Effort,number
f01a511d-ba99-4859-b541-ca063146bf2f,10c4527f-758d-414c-80ca-35f6a1f184a2,Priority,select
55ef881d-2998-4005-a333-97c59e361883,10c4527f-758d-414c-80ca-35f6a1f184a2,Effort,number
8106a273-ff4e-4fa0-9c56-3b00796eaeee,3da44567-a3ee-42e9-b3e4-5bbb74db0197,Priority,select
c46cc076-3007-4481-b865-bf40f2b21241,3da44567-a3ee-42e9-b3e4-5bbb74db0197,Effort,number
b722981c-9730-4354-b637-df6d2cfa6f42,ab51b4e2-eff3-4b83-83db-ac21863c85b5,Priority,select
cb81cd94-aed6-44cd-b852-235aa579582b,ab51b4e2-eff3-4b83-83db-ac21863c85b5,Effort,number
d321cb36-1eb6-4692-afb9-eae225a2b207,782dac4c-1a15-42b3-a4d2-a538869a8484,Priority,select
a7f81e80-e6db-4e70-ba7d-489d1ae2b625,782dac4c-1a15-42b3-a4d2-a538869a8484,Effort,number
b2baf52f-b193-432f-8f5d-5a98b0df4f08,99b9a85d-49a8-4ea5-8630-3927920f6cb5,Priority,select
cf2d64a8-1d71-4b65-a5a2-bfe53d1efc38,99b9a85d-49a8-4ea5-8630-3927920f6cb5,Effort,number
6dad8a96-5284-4880-aa15-1fe4cafaf53a,a80486ae-2ee8-4981-b549-c373f0fb0d05,Priority,select
addf55bd-4a85-434a-909d-6d41edbf4298,a80486ae-2ee8-4981-b549-c373f0fb0d05,Effort,number
2a8178cf-3ef2-4722-8261-f6f67d8a7161,8bccd14c-8e44-43f9-bab8-5e020c9d14b5,Priority,select
6134f944-58f6-4097-a9d3-e0dc7a58e245,8bccd14c-8e44-43f9-bab8-5e020c9d14b5,Effort,number
bc2b73bc-4ce0-4fba-a0c0-37cd9d6c92c2,25892456-ab44-44ee-a03d-5767e4310f36,Priority,select
db367da6-56e2-46e8-89bc-0d7b8fca3462,25892456-ab44-44ee-a03d-5767e4310f36,Effort,number
a10bac45-6c14-464b-9ed5-a24f5108028d,c19a9e37-222d-489b-b311-55d5a5319b8f,Priority,select
301b5b55-542f-4cb6-80be-b67a23732adb,c19a9e37-222d-489b-b311-55d5a5319b8f,Effort,number
f3a90f08-36a4-4f76-803a-a83ed68db545,d13687ff-c2a1-4acf-a7d5-b40974ff5c3f,Priority,select
668a4d26-734e-43b9-945b-4ee954bb16fc,d13687ff-c2a1-4acf-a7d5-b40974ff5c3f,Effort,number
d785f82f-f590-4a10-ba89-f10754cb49a2,92cde1eb-2734-4667-a001-c2eadf67e8b2,Priority,select
876e02ed-ef75-4c14-bf48-98549f6165ed,92cde1eb-2734-4667-a001-c2eadf67e8b2,Effort,number
bfbda859-1d2c-48aa-af43-10e0ed58d92e,05a5d134-2d0f-4662-a5e1-87a50af09648,Priority,select
d6b198c5-b529-4a9f-ade6-3d99022482f0,05a5d134-2d0f-4662-a5e1-87a50af09648,Effort,number
73b3f440-e756-4a27-92b8-217c5e5c60ef,1c588ef4-7538-4872-bb1b-872ad1ffa527,Priority,select
71ae0684-92f5-42d6-9194-48a71a36081e,1c588ef4-7538-4872-bb1b-872ad1ffa527,Effort,number
89e15651-b24c-4a88-b77d-73a3f12bd820,2d61dda9-f06f-4238-a8fe-d3ea17994037,Priority,select
efe392cc-e418-41d0-a49c-e714cbad8610,2d61dda9-f06f-4238-a8fe-d3ea17994037,Effort,number
25c82094-b3ca-49e7-9919-735e16ad4ba9,9395ccb1-f679-4919-a1a1-1e6ef289c1dc,Priority,select
a8a42ea4-901e-4d87-bc4a-fd28760c9f3e,9395ccb1-f679-4919-a1a1-1e6ef289c1dc,Effort,number
d0360a12-b4c0-47d3-adc1-542d4023c264,fe9ebde3-f8cb-4b4c-9bb2-6eaafd3eb9b1,Priority,select
fcffa5a6-2559-4c7b-8548-21488d279469,fe9ebde3-f8cb-4b4c-9bb2-6eaafd3eb9b1,Effort,number
1235c639-369f-4af5-8514-30bad82c5549,89124982-1a43-4132-a2b4-e0de7f504509,Priority,select
e98d1e81-f2fb-4991-9f55-2f11d429b23b,89124982-1a43-4132-a2b4-e0de7f504509,Effort,number
683699a0-814b-4ead-aaf3-3ec03ea8c8d2,284821f8-bf3d-436c-80c7-e1988ffd6e38,Priority,select
9b114559-924f-4e1e-b800-93c716033829,284821f8-bf3d-436c-80c7-e1988ffd6e38,Effort,number
