value_id,task_id,field_id,value
2fd3c632-6d81-41cc-ba42-3855356c9ed2,d09bf2a4-c210-4a31-80cc-aaf4d4d5cdf0,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
ac48277c-f1ea-452d-9031-a35f2beccc80,d09bf2a4-c210-4a31-80cc-aaf4d4d5cdf0,8237d2e8-775d-42ec-a9df-096d18bc5ec3,1
4720be16-89aa-4c2f-b943-d435e7d832d1,a6565631-4a58-4514-a111-c308c91df1bf,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
f0045b88-10bb-4774-a56d-64bedf2f74e0,a6565631-4a58-4514-a111-c308c91df1bf,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
e1d3ca13-c292-431a-8239-ab47db1b941f,0b0b12bf-3c8d-4ae0-a2f3-7bb9dc56dc14,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
2bf7112b-e104-4f95-be40-35bddd0ee9c8,d8c98823-1f09-40e1-b07e-b9b9fbd19956,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
305a7fd0-51e9-4887-902e-a8ca5b5dbd48,d8c98823-1f09-40e1-b07e-b9b9fbd19956,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
fe08055b-eeec-42bc-9134-e156c3c0b00e,937fa228-3d2f-4c31-97bc-78f94b07f3c5,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
a7571d76-bbb7-41a0-82a8-37ecaf50df2a,b4bdb1e0-a523-48ba-ba66-953af8938ef4,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
df80c7aa-538c-4ad3-885f-48c71ca278ef,802437a1-8235-4ea6-b07f-68081087ee60,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
7337d0de-ae42-4fec-9cc7-710eda8bbad3,802437a1-8235-4ea6-b07f-68081087ee60,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
0aafd0c5-cea9-4abd-ab0c-0dece7df9477,c153f4db-798d-4e3e-98b4-67cd9924c3bf,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
82fb3efb-2a26-42f4-b6f5-8a2e5bb54730,73f45ded-4714-44b6-84df-69afc029956d,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
de98482a-8ac2-42c2-a547-aeae590eaf26,73f45ded-4714-44b6-84df-69afc029956d,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
dccf9213-6b4c-4673-bea5-623af08aa039,6e444c28-9c7a-4758-96af-ee3d2f1aa14a,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
378542f9-b503-4b52-892a-00160562c6ea,6e444c28-9c7a-4758-96af-ee3d2f1aa14a,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
3fdecbac-6796-4a22-829b-360f239edc2e,cdf20ea8-fce6-4143-a121-151ba22e34cf,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
28d9501e-a0a3-42c5-971c-94b762fdf221,cdf20ea8-fce6-4143-a121-151ba22e34cf,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
706d16b5-05ab-46ab-88d6-c04b5a5b58e2,e6b4f011-46dc-4e3c-a483-e6b5a279d83d,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
4e905300-5fbe-4ae6-a4e7-792a428041de,e6b4f011-46dc-4e3c-a483-e6b5a279d83d,8237d2e8-775d-42ec-a9df-096d18bc5ec3,1
6f951a3c-c653-4c68-86af-e0a2d6bc2711,93e38032-b13f-4fc0-b57d-c271a1837a11,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
5468afd5-5ecd-4643-9da1-e5bd9690a450,93e38032-b13f-4fc0-b57d-c271a1837a11,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
a04a6048-1225-41d1-80c0-8b3c0fad80d4,a065f590-f7e8-4321-9535-e359f8ee91ab,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
cf51ec3f-065b-4b4f-8ed4-c47064dd37dd,588de0ed-0403-40b5-96e2-936984ecceff,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
403116b3-9d40-4463-9ab9-31c02589fc59,05277872-d8bf-4a50-9f16-b25807f8016d,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
ee624928-3b98-45cb-9f69-f6e3903a339b,05277872-d8bf-4a50-9f16-b25807f8016d,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
1c65788b-1dee-4691-8202-5a00a16c3c98,c1c83f8b-1ac0-4169-86ba-4cbdea1b84c0,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
1fde6277-bf17-4b34-9f7a-1d70c7a85eeb,c1c83f8b-1ac0-4169-86ba-4cbdea1b84c0,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
1cd08b03-3358-450b-8e92-ea100da969f8,91a17768-def2-4fd6-9a5a-a5825a4fe170,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
4e3ce5f4-c7f7-47ed-8cfd-eab60d64f458,c517a93f-4c60-4ba0-b389-3ed2a642947a,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
73d4819f-14c1-49cb-a7cc-45ab1d3f2124,c517a93f-4c60-4ba0-b389-3ed2a642947a,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
a1c16ee8-a23a-4ffe-abf9-2364b019218d,5808c2ef-fd45-43a0-b593-fab4b8430abf,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
3b5e9353-7526-46e2-aa67-c8abfe778b3a,5808c2ef-fd45-43a0-b593-fab4b8430abf,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
155baf6d-c46a-492f-b4f0-ed77f42a5bc9,9aa517df-bd53-4f2f-bf6e-3b0065f8ae70,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
f2455782-c535-4a19-b9bf-dc14fafbfdc2,9aa517df-bd53-4f2f-bf6e-3b0065f8ae70,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
c18e2cf3-a84c-45d0-b4a7-0f7a5f9a2b78,9bbee38f-dae5-43a2-b2a5-1cb290149709,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
2841ed68-42fc-42d8-adaf-f6452e255517,122e43d4-7537-4a6f-8194-6198da530af7,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
0fe917cb-ac7b-4287-8ec7-25c8e08aa632,122e43d4-7537-4a6f-8194-6198da530af7,8237d2e8-775d-42ec-a9df-096d18bc5ec3,1
ea83503a-90e8-463a-9144-9815c3dad452,87abc6a1-e066-4f1f-b98f-4b261330970f,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
4c0036fc-16cd-4f8d-822a-1eaef14801a5,87abc6a1-e066-4f1f-b98f-4b261330970f,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
34de2e08-e17a-464c-8bda-42b79959d9aa,8559a92e-f353-4809-a37d-207dc4736f88,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
631c23b5-d275-4ba0-9509-e7ed30400381,8559a92e-f353-4809-a37d-207dc4736f88,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
9e103aef-a77e-45dc-a8a3-10a38ad6ebd6,db4cbf4f-957e-4a9d-834f-5b451228dec6,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
5b351394-716c-43d5-86a8-ca1c05b55695,db4cbf4f-957e-4a9d-834f-5b451228dec6,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
7061cc91-197e-448c-923b-9c787649d175,af2cf303-1918-4316-87c8-ef87b5606a24,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
b4e141da-4fce-48e2-964f-660f9415e400,3a04829a-2986-4dcf-81f3-e752d561ed7e,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
8174bc02-a279-4a6a-8655-e5de89028e18,3a04829a-2986-4dcf-81f3-e752d561ed7e,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
c7498416-658e-4876-8409-8c7c0e343f38,8a880aab-bbd3-497b-b439-e8f24e3f267f,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
a8e94820-d53b-4c1b-867e-9490f884a6cf,7dfef6d4-ca82-48b6-a544-a421b7ebfe4f,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
cc379558-f21b-42c6-8fcf-f19c6d774b23,7dfef6d4-ca82-48b6-a544-a421b7ebfe4f,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
3bfa03d4-c59d-47a8-83cf-e6eccd76a564,c2ce957e-16ef-44a1-b750-a7b6b28dcbf0,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
3caad66c-c371-41e7-b4be-bd4a13a9178c,c2ce957e-16ef-44a1-b750-a7b6b28dcbf0,8237d2e8-775d-42ec-a9df-096d18bc5ec3,3
70493eb2-19ea-4d53-ba90-3e4c9edde771,9d091f83-b5a3-4aae-b41a-3ed60fcea9c1,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
df79bfe3-9d63-4433-acf6-d899724965cd,9d091f83-b5a3-4aae-b41a-3ed60fcea9c1,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
4a3a0ee4-9bba-4fc9-966d-a05d5ded5662,926ee01d-d844-4e28-91ba-2a9551b5eeef,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Low
40c4f573-9a32-4bb4-9431-fb73c370c820,926ee01d-d844-4e28-91ba-2a9551b5eeef,8237d2e8-775d-42ec-a9df-096d18bc5ec3,5
184a08ea-8f2e-4d2c-bd9b-6b925e8ad79a,8c329768-4778-42d9-b219-4bc0051e00b0,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,Medium
9d4dd808-ce4a-4dd7-ae86-400bfe51dd81,8c329768-4778-42d9-b219-4bc0051e00b0,8237d2e8-775d-42ec-a9df-096d18bc5ec3,8
25affe83-c6eb-4433-8eea-78d501b19a28,b084aafe-7ca0-47eb-9012-4d1610994220,4e39d37d-12d0-4f86-a72c-a81ad99a5fee,High
78d5a57e-45dd-4f4f-aae0-8798ae34d86d,b084aafe-7ca0-47eb-9012-4d1610994220,8237d2e8-775d-42ec-a9df-096d18bc5ec3,2
