section_id,project_id,name,position
b6f8b3a0-33ef-4b71-8058-40f6dcc726b7,6b112919-b988-4b2c-89b0-42b9eb6d334f,Ideation,0
a34efb36-f9f9-4875-93e2-4bf001cb23d2,6b112919-b988-4b2c-89b0-42b9eb6d334f,Creation,1
8c735ec2-fd3a-4a29-9710-cc436f414ba1,6b112919-b988-4b2c-89b0-42b9eb6d334f,Review,2
3d5e72fe-fde6-4bf2-a1ee-d069dcdd98ae,6b112919-b988-4b2c-89b0-42b9eb6d334f,Published,3
a788ab98-eeb1-4092-91b3-085a2ebd14a2,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,To Do,0
626196ff-7f2b-4002-9e7e-e8968f5140f6,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,In Progress,1
04f90992-b126-4dbc-ba59-f7953fa8eebe,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,Waiting,2
2cf60074-1902-483c-80c2-87641e77671c,6ea558ac-6fa0-4a85-a8d3-f7ee2b584e4c,Done,3
a8e75aad-ee2b-4c8b-a494-8971469770d1,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Ideation,0
01bd086b-1b99-42c0-afbc-005b323d8537,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Creation,1
8f724ee6-02b5-40a1-a288-eb79b6604024,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Review,2
4f695005-2e48-4d93-b276-8b4761af52f2,235f72fc-ef68-4eaa-bf0f-c2b83c69f81c,Published,3
6ce451e0-fac5-432c-893c-a13f33eaf939,69f78c4f-6f89-406f-9ca6-5f302fc21070,Ideation,0
c42ba58e-e2de-413a-813e-379487a11c42,69f78c4f-6f89-406f-9ca6-5f302fc21070,Creation,1
d6300f24-8e29-4f82-9acc-97d90297cf71,69f78c4f-6f89-406f-9ca6-5f302fc21070,Review,2
843cb7cd-5c2d-49bb-9119-821b4972c8a3,69f78c4f-6f89-406f-9ca6-5f302fc21070,Published,3
cdb01705-574d-4f77-adff-21e32ae1affd,ad850f09-32e1-490a-810a-c1bc7b548be4,Backlog,0
1f5a08b6-67a8-4317-8367-af7df76a3ecf,ad850f09-32e1-490a-810a-c1bc7b548be4,In Progress,1
f289b8a5-be35-4cb6-96cd-9fd2bd792bba,ad850f09-32e1-490a-810a-c1bc7b548be4,Code Review,2
e431c36c-22f1-4f26-8d7a-0cbcf609a853,ad850f09-32e1-490a-810a-c1bc7b548be4,Done,3
31e31a79-470c-411c-a878-a5a65b3eb932,f814e88a-7be9-40ef-9745-81422aaec1c6,Ideation,0
85cdb373-fc24-44b5-b94c-8e6d65ef4ce8,f814e88a-7be9-40ef-9745-81422aaec1c6,Creation,1
7931b5a4-f1e1-4c62-abe5-66d5fdf7622c,f814e88a-7be9-40ef-9745-81422aaec1c6,Review,2
a551ac98-bf97-4aaf-9898-5e01849844df,f814e88a-7be9-40ef-9745-81422aaec1c6,Published,3
af4fddbe-64ec-44b7-9123-637c2e65e35f,4895ba9c-b7cc-467e-91dd-1a5f77f39641,Backlog,0
837fc5fb-c1be-4b2c-8d8d-72e88a22c7c4,4895ba9c-b7cc-467e-91dd-1a5f77f39641,In Progress,1
7e0f8379-4aa0-4d93-8d97-53f2cda9cd19,4895ba9c-b7cc-467e-91dd-1a5f77f39641,Code Review,2
2a1a96a9-7793-4eaf-b80c-71d2118b5721,4895ba9c-b7cc-467e-91dd-1a5f77f39641,Done,3
6f9042d8-a30b-45e1-81df-969682d2c549,206b1051-92be-47b5-aeb1-086fda7c9ab5,Backlog,0
b0cbc115-afd7-462f-aa3e-7acf6f1437ea,206b1051-92be-47b5-aeb1-086fda7c9ab5,In Progress,1
8de80992-2dc3-4d64-9154-2f628e69d8a3,206b1051-92be-47b5-aeb1-086fda7c9ab5,Code Review,2
cff6cf48-adc0-405a-ba4a-f5c33d0a47a5,206b1051-92be-47b5-aeb1-086fda7c9ab5,Done,3
58765b5f-2f99-43c8-af8c-e3c79116e29c,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,To Do,0
44d7dd28-cc2d-43bf-963f-6351378946a6,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,In Progress,1
7a0fa472-8fbc-4655-bc30-9b1f2e3270e4,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,Waiting,2
4012e976-7329-4d9a-89d0-8095db99d849,1d9c33a8-8270-400a-b806-d5c4ccb99bf7,Done,3
d9dc3cdf-d2fd-4ad9-8049-e0dac6f24ffb,10e39994-5f87-474b-a3c5-f7a5b45c635c,Ideation,0
abd67345-4a66-419a-b2e1-c36d4a725c3e,10e39994-5f87-474b-a3c5-f7a5b45c635c,Creation,1
04471e97-0706-4f32-b71f-40041f29c9bd,10e39994-5f87-474b-a3c5-f7a5b45c635c,Review,2
20697409-18b0-4e79-89fc-9cbc5178ae85,10e39994-5f87-474b-a3c5-f7a5b45c635c,Published,3
9fb58aa2-6c77-4be4-a3c9-0a5a635ca708,8ce0e34d-7d98-4ef4-9319-9d33668965f8,To Do,0
02b1d4c6-9cce-4005-9872-21eaf7485e07,8ce0e34d-7d98-4ef4-9319-9d33668965f8,In Progress,1
5c016161-1444-4846-bdf1-4c8301aeb459,8ce0e34d-7d98-4ef4-9319-9d33668965f8,Waiting,2
5cad4bf2-8854-4fbd-bddd-8af7879ecdc6,8ce0e34d-7d98-4ef4-9319-9d33668965f8,Done,3
4b7dec29-247e-47f8-84d0-c84502b4c181,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,Backlog,0
e7f668bf-e060-4bd1-bc57-e2438e67ec52,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,In Progress,1
91beb3ab-de3f-48de-9fa8-a0e72a73fe84,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,Code Review,2
5a441454-2219-4651-8071-daa3dbe2ee20,2a7e7556-faac-4067-9ab6-c8e4c76f4d51,Done,3
3293bd85-c0fa-4ee4-8915-78c6b7b31284,10c4527f-758d-414c-80ca-35f6a1f184a2,To Do,0
a49daf92-8e80-42ba-8314-951faeab5118,10c4527f-758d-414c-80ca-35f6a1f184a2,In Progress,1
987a0a53-4c86-4b26-93dd-d171b874c394,10c4527f-758d-414c-80ca-35f6a1f184a2,Waiting,2
66119d33-8a22-42b9-9837-e31fb38bfc3c,10c4527f-758d-414c-80ca-35f6a1f184a2,Done,3
0d56d578-6bca-4337-ba00-3eb0daca792b,3da44567-a3ee-42e9-b3e4-5bbb74db0197,To Do,0
ceb51472-9930-4a4a-a58f-ad9746e050b8,3da44567-a3ee-42e9-b3e4-5bbb74db0197,In Progress,1
b8085c10-eb90-4fa1-8ac3-9a1e19a4e831,3da44567-a3ee-42e9-b3e4-5bbb74db0197,Waiting,2
